id,gender,region,city,age,edu_degree,major,inistitute
163064312,ذكر,جازان,صامطة,24.0,البكالوريوس أو ما يعادلها,طب بيطري,جامعة جازان 
169397727,ذكر,لا يوجد,لا يوجد,23.0,دبلوم تقني أو ما يعادله,هندسة ميكانيكية,أخرى
172520077,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,هندسة كيميائية,جامعة الملك سعود
160672077,ذكر,الرياض,الحائر (امارة الرياض),23.0,البكالوريوس أو ما يعادلها,نظم معلومات,أخرى
173400495,ذكر,لا يوجد,لا يوجد,23.0,دبلوم تقني أو ما يعادله,هندسة كيميائية,أخرى
165560283,ذكر,لا يوجد,لا يوجد,23.0,دبلوم تقني أو ما يعادله,هندسة ميكانيكية,أخرى
167113119,ذكر,لا يوجد,لا يوجد,23.0,دبلوم تقني أو ما يعادله,محاسبة,أخرى
172051793,ذكر,لا يوجد,لا يوجد,23.0,دبلوم تقني أو ما يعادله,هندسة الطيران,أخرى
166262908,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,لغات وترجمة - انجليزي,جامعة الإمام محمد بن سعود الإسلامية
163790850,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,إدارة أعمال,جامعة شقراء
169995056,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,الإنتاج الحيواني والسمكي,جامعة الملك سعود
171833844,ذكر,لا يوجد,لا يوجد,23.0,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
165068206,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,تسويق,جامعة جازان 
161989207,ذكر,لا يوجد,لا يوجد,23.0,البكالوريوس أو ما يعادلها,القرآن وعلومه,جامعة الإمام محمد بن سعود الإسلامية
161221887,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,القرآن وعلومه,جامعة الملك خالد
165387769,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,محاسبة,جامعة أم القرى 
165897433,ذكر,لا يوجد,لا يوجد,23.0,دبلوم تقني أو ما يعادله,تسويق,أخرى
163696293,ذكر,لا يوجد,لا يوجد,24.0,دبلوم تقني أو ما يعادله,محاسبة,أخرى
169856144,ذكر,لا يوجد,لا يوجد,24.0,دبلوم تقني أو ما يعادله,علوم حاسب,جامعة الملك سعود
172030398,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,هندسة كهربائية,جامعة الملك فهد للبترول و المعادن
163762347,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,علم الاجتماع,جامعة الإمام محمد بن سعود الإسلامية
166782511,ذكر,لا يوجد,لا يوجد,23.0,البكالوريوس أو ما يعادلها,تقنية المختبرات الطبية,أخرى
164493838,ذكر,لا يوجد,لا يوجد,23.0,البكالوريوس أو ما يعادلها,أحياء,جامعة شقراء
163396634,ذكر,لا يوجد,لا يوجد,24.0,البكالوريوس أو ما يعادلها,الإعلام والإتصال,جامعة الملك عبد العزيز
