,id,gender,region,city,age,edu_degree,major,inistitute
18147,167490059,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18159,164597571,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
18223,171221054,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18228,169848650,أنثى,لا يوجد,لا يوجد,28,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18314,162261141,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
18326,172170946,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18354,165812716,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18397,169986633,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18408,172791044,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
18444,162360188,أنثى,لا يوجد,لا يوجد,28,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18478,164069752,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18526,169601417,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18529,163239934,أنثى,لا يوجد,لا يوجد,28,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18533,168536673,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18565,162645017,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18610,169367812,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18618,169097329,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18624,171715275,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18691,164522695,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18719,166844552,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18721,163293357,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
18736,161758460,أنثى,لا يوجد,لا يوجد,28,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18774,172618496,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18787,169484696,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18841,172711644,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18856,165789682,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18862,165313040,أنثى,لا يوجد,لا يوجد,28,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18864,169662834,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18890,162113317,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18893,163373559,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18931,171546652,أنثى,لا يوجد,لا يوجد,28,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18932,168433472,أنثى,لا يوجد,لا يوجد,28,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
18951,173362031,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
19019,168273013,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19034,166150270,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
19063,166117196,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19089,171005250,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19174,167495529,أنثى,لا يوجد,لا يوجد,28,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19180,168146311,أنثى,لا يوجد,لا يوجد,29,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19181,167210363,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19225,166196762,أنثى,لا يوجد,لا يوجد,28,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19249,161719752,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19251,164848900,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19318,163005493,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
19335,172611023,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19358,166747104,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
19439,161211476,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19496,161857506,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19506,165341968,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19518,166851117,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19523,165124410,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19536,166098199,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19564,160962120,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19579,169499462,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19595,165644486,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19613,165672078,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19629,169860335,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19642,172208262,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19667,166357350,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19757,172746061,أنثى,لا يوجد,لا يوجد,28,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19768,167036997,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19827,169410246,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19829,169664406,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19877,161805922,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19911,171379378,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19956,165261457,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
19958,166583046,أنثى,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19962,165220912,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
19977,165524130,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
20034,165481899,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
20036,161501158,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
20050,163141045,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
20079,164460475,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
20105,165947133,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
20110,171115450,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
20111,172890593,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
20131,170230043,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
20218,169994481,أنثى,لا يوجد,لا يوجد,27,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
20229,162962537,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
20315,165278598,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
20319,162968222,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
20325,168926945,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
20342,170705639,أنثى,لا يوجد,لا يوجد,26,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
